Supercharger,Street Address,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Buckeye, AZ",416 S Watson RD,Buckeye,AZ,85326,USA,8,"33.443011, -112.556876",338,Open,2014-03-20,SC,thread
"Green River, UT",1765 East Main St,Green River,UT,84525,USA,4,"38.993577, -110.140513","1,240",Open,2014-03-17,SC,thread
"Plymouth, NC",840 U.S. 64,Plymouth,NC,27962,USA,8,"35.850587, -76.756116",5,Open,2014-03-12,SC,thread
"Lone Tree, CO",8401 Park Meadows Center Dr,Lone Tree,CO,80124,USA,4,"39.563776, -104.875651","1,785",Open,2014-02-26,SC,thread
"Aurora, IL",205 N. Broadway,Aurora,IL,60505,USA,4,"41.760671, -88.309184",197,Open,2014-02-24,SC,thread
"Las Vegas, NV",701 Bridger Ave,Las Vegas,NV,89101,USA,6,"36.165906, -115.138655",609,Open,2014-02-19,SC,thread
"Pleasant Prairie, WI",11211 120th Avenue,Pleasant Prairie,WI,53158,USA,8,"42.518715, -87.950428",216,Open,2014-02-13,SC,thread
"Greenwich, CT (north)",3000 Merritt Parkway,Greenwich,CT,6830,USA,4,"41.041538, -73.671661",82,Open,2014-02-12,SC,thread
"Greenwich, CT (south)",2000 Merritt Parkway,Greenwich,CT,6830,USA,4,"41.040555, -73.673445",81,Open,2014-02-12,SC,thread
"Yuma, AZ",310 N Madison Ave,Yuma,AZ,85364,USA,8,"32.726686, -114.619093",43,Open,2014-02-04,SC,thread
"Eau Claire, WI",4601 Keystone Crossing,Eau Claire,WI,54701,USA,6,"44.77083, -91.43711",293,Open,2014-01-30,SC,thread
"Bethesda, MD",7101 Democracy Blvd,Bethesda,MD,20817,USA,2,"39.023876, -77.144352",92,Open,2014-01-30,SC,thread
"Hagerstown, MD",495 Premium Outlets Blvd,Hagerstown,MD,21740,USA,6,"39.605859, -77.733324",164,Open,2014-01-23,SC,thread
"Kingman, AZ",789 West Beale Street,Kingman,AZ,86401,USA,6,"35.191331, -114.065592","1,025",Open,2014-01-22,SC,thread
"Moab, UT",16 South Main St.,Moab,UT,84511,USA,4,"38.573122, -109.552368","1,224",Open,2014-01-22,SC,thread
"Cheyenne, WY",1400 Dell Range Blvd,Cheyenne,WY,82009,USA,4,"41.161085, -104.804955","1,859",Open,2014-01-20,SC,thread
"Syosset, NY",7 Aeriel Way,Syosset,NY,11791,USA,4,"40.799839, -73.515267",56,Open,2014-01-18,SC,thread
"Lumberton, NC",5093 Fayetteville Road,Lumberton,NC,28358,USA,4,"34.667629, -79.002343",40,Open,2014-01-17,SC,thread
"Macedonia, OH",8210 Macedonia Commons Blvd,Macedonia,OH,44056,USA,6,"41.313663, -81.517018",296,Open,2014-01-15,SC,thread
"Albert Lea, MN",811 East Plaza St,Albert Lea,MN,56007,USA,4,"43.68606, -93.357721",383,Open,2014-01-15,SC,thread
